Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Bisect;AORB_208;Nonequivalent;Nonequivalent;AORB;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.65625;0.026;0.0;0.0
Bisect;AOIS_643;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;AORB_176;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;ROR_734;Nonequivalent;Nonequivalent;ROR;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.7894736842105263;0.026;0.0;0.0
Bisect;AORB_4;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;VDL_11;Nonequivalent;Nonequivalent;VDL;8;0;0;0;0;0;[2, 6, 6, 7];2;7;5.25;[0];0;0;0.0;[2];[];[0];[];9;Block;0.6973684210526315;0.8;0.141;0.0;0.0
Bisect;AORB_71;Nonequivalent;Nonequivalent;AORB;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.65625;0.026;0.0;0.0
Bisect;ROR_688;Nonequivalent;Nonequivalent;ROR;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.7894736842105263;0.026;0.0;0.0
Bisect;AORB_232;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.65625;0.062;0.293;0.293
Bisect;COI_70;Nonequivalent;Nonequivalent;COI;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;If;0.6206896551724138;1.0;0.086;0.293;0.0
Bisect;AOIS_343;Nonequivalent;Nonequivalent;AOIS;7;0;1;0;1;0;[4, 8, 8, 9, 4, 8, 8, 9, 5, 9, 9, 10];4;10;7.583333333333333;[2];2;2;2.0;[4, 5, 6];[2];[1, 1, 1];[0];6;Assignment;0.6428571428571429;0.7236842105263158;0.188;0.0;0.707
Bisect;CDL_53;Nonequivalent;Nonequivalent;CDL;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.5;0.086;0.293;0.0
Bisect;AORB_437;Nonequivalent;Nonequivalent;AORB;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.65625;0.27;0.0;0.0
Bisect;AOIS_586;Nonequivalent;Nonequivalent;AOIS;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;Assignment;0.7419354838709677;0.7236842105263158;0.062;0.293;0.293
Bisect;AOIU_56;Nonequivalent;Nonequivalent;AOIU;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.5625;0.27;0.0;0.0
Bisect;AORB_7;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Block;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;AORB_323;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;AOIU_83;Nonequivalent;Nonequivalent;AOIU;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;Assignment;1.0;0.5625;0.026;0.0;0.0
Bisect;AOIS_338;Nonequivalent;Nonequivalent;AOIS;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.7236842105263158;0.086;0.293;0.0
Bisect;AORB_180;Nonequivalent;Nonequivalent;AORB;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.65625;0.27;0.0;0.0
Bisect;AOIS_498;Nonequivalent;Nonequivalent;AOIS;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.7236842105263158;0.086;0.293;0.0
Bisect;AORB_179;Nonequivalent;Nonequivalent;AORB;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.65625;0.27;0.0;0.0
Bisect;AORB_13;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;Block;0.7419354838709677;0.65625;0.062;0.293;0.293
