mutant name, is equivalent?, distinguished by
AOIS_82, 0
AOIS_83, 0
AOIS_86, 0
AOIS_89, 0
AOIS_9, 0
AOIS_90, 0
AOIS_91, 0
AOIS_92, 0
AOIS_93, 0
AOIS_96, 0
AOIS_97, 0
AOIS_98, 0
AOIS_99, 0
AOIU_10, 0
AOIU_11, 0
AOIU_12, 0
AOIU_13, 0
AOIU_14, 0
AOIU_15, 0
AOIU_16, 0
AOIU_17, 0
AOIU_18, 0
AOIU_19, 0
AOIU_20, 0
AOIU_22, 1, -
AOIU_23, 0
AOIU_24, 0
AOIU_25, 0
AOIU_26, 0
AOIU_27, 0
AOIU_28, 0
AOIU_29, 0
AOIU_3, 0
AOIU_30, 0
AOIU_31, 0
AOIU_32, 0
AOIU_33, 0
AOIU_35, 0
AOIU_36, 0
AOIU_37, 0
AOIU_38, 0
AOIU_39, 0
AOIU_4, 0
AOIU_40, 0
AOIU_41, 0
AOIU_43, 0
AOIU_44, 0
AOIU_5, 0
AOIU_6, 0
AOIU_7, 1, -
AOIU_8, 0
AOIU_9, 1, -
AORB_10, 0
AORB_11, 0
AORB_16, 0
AORB_17, 0
AORB_20, 0
AORB_21, 0
AORB_3, 0
AORB_4, 0
AORB_5, 0
AORB_6, 0
AORB_7, 0
AORB_8, 0
AORB_9, 0
AORS_2, 0
COD_1, 1, -
COI_10, 0
COI_12, 0
COI_13, 0
COI_14, 0
COI_15, 1, -
COI_17, 0
COI_18, 0
COI_19, 0
COI_23, 0
COI_24, 1, -
COI_25, 0
COI_28, 0
COI_29, 0
COI_3, 0
COI_30, 0
COI_32, 0
COI_33, 0
COI_34, 0
COI_35, 0
COI_36, 0
COI_37, 0
COI_39, 0
COI_4, 0
COI_40, 0
COI_41, 0
COI_42, 0
COI_43, 0
COI_45, 0
COI_5, 0
COI_7, 0
COI_8, 0
COI_9, 0
COR_1, 0
COR_10, 0
COR_11, 0
COR_13, 0
COR_14, 0
COR_15, 0
COR_16, 0
COR_2, 0
COR_3, 0
COR_4, 0
COR_5, 0
COR_6, 0
COR_7, 0
COR_8, 0
COR_9, 0
LOI_10, 0
LOI_11, 0
LOI_12, 0
LOI_13, 0
LOI_14, 0
LOI_15, 0
LOI_16, 0
LOI_17, 0
LOI_20, 0
LOI_21, 0
LOI_22, 0
LOI_23, 0
LOI_25, 1, -
LOI_26, 0
LOI_27, 0
LOI_30, 0
LOI_31, 0
LOI_32, 0
LOI_33, 0
LOI_34, 0
LOI_35, 0
LOI_38, 0
LOI_39, 1, -
LOI_40, 0
LOI_41, 0
LOI_42, 0
LOI_44, 0
LOI_45, 0
LOI_46, 0
LOI_47, 0
LOI_48, 0
LOI_49, 0
LOI_50, 0
LOI_51, 0
LOI_52, 0
LOI_54, 0
LOI_55, 0
LOI_56, 0
LOI_59, 0
LOI_6, 0
LOI_60, 0
LOI_61, 0
LOI_62, 0
LOI_63, 0
LOI_64, 0
LOI_65, 0
LOI_66, 0
LOI_67, 0
LOI_68, 0
LOI_7, 0
LOI_8, 0
LOI_9, 0
ODL_100, 0
ODL_104, 0
ODL_106, 0
ODL_107, 0
ODL_11, 0
ODL_110, 0
ODL_12, 0
ODL_13, 0
ODL_14, 0
ODL_15, 0
ODL_16, 0
ODL_19, 0
ODL_40, 0
ODL_41, 0
ODL_44, 0
ODL_45, 0
ODL_68, 0
ODL_69, 0
ODL_72, 0
ODL_73, 0
ODL_78, 0
ODL_79, 0
ODL_86, 0
ODL_87, 0
ODL_92, 0
ODL_93, 0
ODL_96, 0
ODL_97, 0
ODL_98, 0
ODL_99, 0
ROR_100, 0
ROR_101, 0
ROR_102, 0
ROR_103, 0
ROR_104, 0
ROR_105, 0
ROR_106, 0
ROR_107, 0
ROR_108, 0
ROR_109, 0
ROR_110, 0
ROR_111, 0
ROR_112, 0
ROR_113, 0
ROR_114, 0
ROR_115, 0
ROR_116, 0
ROR_117, 0
ROR_118, 0
ROR_119, 0
ROR_120, 0
ROR_121, 0
ROR_122, 0
ROR_123, 0
ROR_124, 0
ROR_125, 0
ROR_126, 0
ROR_127, 0
ROR_128, 0
ROR_129, 0
ROR_130, 0
ROR_131, 0
ROR_132, 0
ROR_133, 0
ROR_134, 0
ROR_135, 0
ROR_136, 0
ROR_137, 0
ROR_138, 0
ROR_139, 0
ROR_140, 0
ROR_141, 0
ROR_142, 0
ROR_143, 0
ROR_144, 0
ROR_145, 0
ROR_146, 0
ROR_147, 0
ROR_148, 0
ROR_149, 0
ROR_15, 0
ROR_150, 0
ROR_151, 0
ROR_152, 0
ROR_153, 0
ROR_154, 0
ROR_155, 0
ROR_156, 0
ROR_157, 0
ROR_158, 0
ROR_159, 0
ROR_16, 0
ROR_160, 0
ROR_161, 0
ROR_162, 0
ROR_163, 0
ROR_164, 0
ROR_165, 0
ROR_166, 0
ROR_167, 0
ROR_168, 0
ROR_169, 0
ROR_17, 0
ROR_170, 0
ROR_171, 0
ROR_172, 0
ROR_173, 0
ROR_174, 0
ROR_175, 0
ROR_176, 0
ROR_177, 0
ROR_178, 0
ROR_179, 0
ROR_18, 0
