Mutant,test12,test05,test04,test03,test02,test01,test00,test11,test10,test09,test08,test07,test06,Total,Equiv?
ASRS_8, ,1, , , , , , , , , , , ,1, 
ROR_105, , , , , , , , , , , , , ,0, 
ROR_108, , , , , , , , , , , , , ,0, 
ROR_107, , , , , , , , , , ,1, , ,1, 
ROR_104, , , , , , , , , , , , , ,0, 
ROR_103, , , , , , , , , , , , , ,0, 
ROR_100, , , , , , , , , , , , , ,0, 
ROR_39, , , , , , , , ,1,1, , , ,2, 
ROR_25, , , , , , , , , , , , , ,0, 
SDL_23, , , , , , , , , , , , , ,0, 
ROR_27, , , , , , , , ,1,1, , , ,2, 
SDL_25, , , , , , , , , , , , , ,0, 
ROR_21, , , , , , , , ,1, , , , ,1, 
SDL_20, , , , , , , , ,1,1, , , ,2, 
ROR_23, , , , , , , , ,1, , , , ,1, 
ROR_22, , , , , , , , , , , , , ,0, 
AOIS_22, , , , , , , , ,1, , , , ,1, 
AOIS_20, , , , , , , , , , , ,1, ,1, 
SDL_27, , , , , , , , ,1,1, , , ,2, 
SDL_28, , , , , , , , ,1,1, , , ,2, 
SDL_29, , , , , , , , , , , , , ,0, 
ROR_29, , , , , , , , ,1,1, , , ,2, 
ROR_28, , , , , , , , ,1,1, , , ,2, 
ROR_98, , , , , , , , , , , ,1, ,1, 
ROR_97, ,1, , , , , , , , ,1, , ,2, 
ROR_99, ,1, , , , , , , , ,1, , ,2, 
AOIS_99, , , , , , , , , , , , , ,0, 
AORS_2, , , , , , , , ,1,1, , , ,2, 
ROR_94, , , , , , , , , , , , , ,0, 
AOIS_104, , , , , , , , , , , ,1, ,1, 
ROR_93, , , , , , , , , , , , , ,0, 
AORS_3, , , , , , , , , , , ,1, ,1, 
AOIS_103, ,1, , , , , , , , ,1,1, ,3, 
AOIS_97, ,1, , , , , , , , ,1, , ,2, 
AORS_1, , , , ,1, , , , , , ,1, ,2, 
AOIS_102, ,1, , , , , , , , ,1,1, ,3, 
ROR_95, , , , , , , , , , , , , ,0, 
ROR_90, , , , , , , , , , , ,1, ,1, 
AOIS_95, ,1, , , , , , , , ,1, , ,2, 
AOIS_101, ,1, , , , , , , , ,1, , ,2, 
AOIS_100, , , , , , , , , , , , , ,0, 
AORS_4, , , , , , , , , , , ,1, ,1, 
ROR_92, , , , , , , , , , , , , ,0, 
ROR_91, , , , , , , , , , , , , ,0, 
SDL_9, , , , , , , , , , , , , ,0, 
ROR_87, , , , , , ,1, ,1,1, , , ,3, 
SDL_8, , , , , , , , , , , , , ,0, 
ROR_83, , , , , , , , , , , , , ,0, 
ROR_82, , , , , , , , , , , , , ,0, 
ROR_85, , , , , , , , , , , , , ,0, 
AOIS_113, ,1, , , , , , , , , , , ,1, 
